Date ,Transaction Amount,% owed by Fee,Amount Owed by Fee,Transaction Details,Notes
16/08/2017,-95.63,,,VISA DEBIT PURCHASE CARD 9088 WOOLWORTHS 1268 COWRA,
14/06/2017,-24.75,,,VISA DEBIT PURCHASE CARD 9088 MCDONALDS COWRA COWRA,
12/06/2017,-0.02,,,DEBIT INTEREST CHARGED,
12/06/2017,-29.93,,,VISA DEBIT PURCHASE CARD 9088 COLES 5749 COWRA,
09/06/2017,-26,,,VISA DEBIT PURCHASE CARD 9088 HOLYCOTT HOTEL LITHGOW,
09/06/2017,-21.5,,,VISA DEBIT PURCHASE CARD 9088 THE FLOWER ROOM NEWTOWN,
09/06/2017,-12.6,,,VISA DEBIT PURCHASE CARD 9088 HOLYCOTT HOTEL LITHGOW,
09/06/2017,-10,,,VISA DEBIT PURCHASE CARD 9088 SUBWAY SNACKS SYDNEY,
09/06/2017,-40.17,,,VISA DEBIT PURCHASE CARD 9088 ALDI STORES DRUMMOYNE,
09/06/2017,-30.54,,,VISA DEBIT PURCHASE CARD 9088 BONDS OUTLET BIRKENHD DRUMMOYNE,
09/06/2017,-25.35,,,VISA DEBIT PURCHASE CARD 9088 MCDONALDS CROYDON CROYDON,
08/06/2017,-103,,,VISA DEBIT PURCHASE CARD 9088 TARGET 5286 GLEBE,
08/06/2017,-89.2,,,VISA DEBIT PURCHASE CARD 9088 NEWSLINK SYD903 SYDNEY,
08/06/2017,-20,,,VISA DEBIT PURCHASE CARD 9088 KMART 1155 BROADWAY,
07/06/2017,-18,,,VISA DEBIT PURCHASE CARD 9088 WATS ON EVENTS PTY LTD KURMOND,
07/06/2017,-9.8,,,VISA DEBIT PURCHASE CARD 9088 MCDONALDS MARRICKV ME MARRICKVILLE,
06/06/2017,-140,,,VISA DEBIT PURCHASE CARD 9088 ASICS OCEANIA PTY LT DRUMMOYNE,
06/06/2017,621.74,,,ANZ INTERNET BANKING FUNDS TFER TRANSFER 111602  FROM       223590642,
06/06/2017,-18.51,,,VISA DEBIT PURCHASE CARD 9088 WOOLWORTHS 1649 MARRICKVILLE,
06/06/2017,-18,,,VISA DEBIT PURCHASE CARD 9088 CAFE4ME PTY LTD SURRY HILLS,
